product_type,transaction_type,revenue,gross_margin,avg_margin_pct,transaction_count,line_items,avg_revenue_per_txn
Branded,Inpatient,1857471711.7285092,216664073.83438385,34.65202626181526,22811,40064,81428.77172103415
Branded,Outpatient,2569035107.2907877,263202945.98605606,35.44346467434171,41614,76390,61734.87545755731
Branded,Unknown,1231392039.875,176195000.595,33.91845639553677,11230,19628,109652.0071126447
Generic,Inpatient,3619933441.045017,552101259.584995,34.53498453447718,47892,118102,75585.34705263968
Generic,Outpatient,9580107880.985403,1013114921.5059127,34.6938155514769,84430,250411,113468.05496844013
Generic,Unknown,195932839.245,25136960.925,32.195082822891784,5810,9677,33723.38024870912
