year_month,month_name,transaction_type,revenue,gross_margin,avg_margin_pct,transaction_lines
2015-01,January,Inpatient,194780.0,12427.0,22.347408712558188,6
2015-03,March,Inpatient,5380944.0,848848.0,36.85395386313133,145
2015-03,March,Outpatient,32414657.8064,223825.28731200006,36.51363823310725,248
2015-04,April,Inpatient,4008223.695,421066.825,36.82898319125648,41
2015-04,April,Outpatient,14620431.35,862622.4,37.303184053164735,600
2015-08,August,Inpatient,236719690.14271244,31391259.995712504,36.4558226982802,6462
2015-08,August,Outpatient,208549099.29003596,23139733.192907497,41.51023796817896,12127
2015-09,September,Inpatient,432703138.04196733,46719346.1010697,34.68029886723042,8110
2015-09,September,Outpatient,513130760.3259683,44866997.5111215,32.54764899205345,11214
